Company Name,Ticker Symbol
Lloyds Metals,LLOYDSME.NS
Esab India,ESABINDIA.NS
Coal India,COALINDIA.NS
Fine Organic,FINEORG.NS
CG Power & Indu.,CGPOWER:IN 
TCS,TCS
Easy Trip Plann.,EASEMYTRIP.NS
Page Industries,PAGEIND.NS
West Coast Paper,WSTCSTPAPR.NS
Gillette India,GILLETTE.NS
Indian Energy Ex,IEX.NS
Tata Elxsi,TATAELXSI.NS
Clean Science,CLEAN.NS
Angel One,ANGELONE.NS
Marico,MARICO.NS
CRISIL,CRISIL.NS
Infosys,INFY
Vedant Fashions,MANYAVAR.NS
Sonata Software,SONATSOFTW.NS
ITC,ITC.NS
Coromandel Inter,COROMANDEL.NS
Mazagon Dock,MAZDOCK.NS
Tanla Platforms,TANLA
LTIMindtree,LTIM
Supreme Petroch.,SPLPETRO
Seshasayee Paper,SESHAPAPER 
Balaji Amines,BALAMINES
eClerx Services,ECLERX
GHCL,GHCL.NS
Solar Industries,SOLARINDS.NS
Akzo Nobel,AKZA.AS
SKF India,SKFINDIA.NS
Asian Paints,ASIANPAINT.NS
ION Exchange,IONEXCHANG.NS
MPS,VISESHINFO.BO
EMS,EMSN.SW
L&T Technology,LTTS.NS
Suven Pharma,SUVENPHAR.NS
Rolex Rings,ROLEXRINGS.NS
BLS Internat.,BLS.NS
Narayana Hrudaya,NH.NS
Tube Investments,TIINDIA.NS
Gujarat Gas,GUJGASLTD.NS
Praj Industries,PRAJIND.NS
Brightcom Group,BCG.NS
Coforge,COFORGE.NS
Vinati Organics,VINATIORGA.NS
Persistent Sys,PERSISTENT.NS
Sumitomo Chemi.,4005.T
NMDC,NMDC.NS
KPIT Technologi.,KPITTECH.NS
Bharat Electron,BEL.NS
Deepak Nitrite,DEEPAKNTR.NS
Gujarat Fluoroch,FLUOROCHEM.NS
Schaeffler India,SCHAEFFLER.NS
C.E. Info System,APMYINDIA
Mphasis,MPHASIS
Triveni Turbine,TRITURBINE.NS
JK Paper,JKPAPER
HCL Technologies,HCLTECH.NS
Timken India,TIMKEN.NS
Alkyl Amines,ALKYLAMINE.NS
Grindwell Norton,GRINDWELL.NS
Godawari Power,GPIL.NS
Varun Beverages,VBL.NS
Happiest Minds,HAPPSTMNDS.NS
Eicher Motors,EICHERMOT.NS
Ratnamani Metals,RATNAMANI.NS
Century Plyboard,CENTURYPLY.NS
Rajratan Global,RAJRATAN.NS
APL Apollo Tubes,APLAPOLLO.NS
Cummins India,CUMMINSIND.NS
Mahanagar Gas,MGL.NS
Petronet LNG,PETRONET.NS
Caplin Point Lab,CAPLIPOINT.NS
KEI Industries,KEI.NS
Oil India,OIL.NS
AIA Engineering,AIAENG.NS
Redington,REDINGTON.NS
Elgi Equipments,ELGIEQUIP.NS
Blue Star,BSFC
Metro Brands,METROBRAND.NS
Dixon Technolog.,DIXON.NS
Rainbow Child.,RAINBOW.NS
Berger Paints,BERGEPAINT.NS
Krishna Institu.,KIMS.NS
Galaxy Surfact.,GALAXYSURF.NS
Campus Activewe.,CAMPUS.NS
SRF,SRFM
Transport Corp.,2609.TW
Laurus Labs,LAURUSLABS.NS
Adani Total Gas,ATGL.NS
Allcargo Logist.,ALLCARGO.NS
JSW Infrast,JSWINFRA.NS
